iter	Passed	Remaining
1528	29124	28019
1529	29142	27999
1530	29160	27979
1531	29179	27960
1532	29198	27941
1533	29218	27923
1534	29237	27903
1535	29253	27882
1536	29272	27863
1537	29291	27843
1538	29310	27824
1539	29328	27804
1540	29346	27785
1541	29365	27765
1542	29383	27746
1543	29403	27727
1544	29423	27709
1545	29443	27691
1546	29462	27672
1547	29479	27651
1548	29496	27630
1549	29513	27609
1550	29531	27589
1551	29548	27568
1552	29567	27549
1553	29584	27528
1554	29602	27508
1555	29620	27488
1556	29638	27468
1557	29655	27447
1558	29675	27429
1559	29693	27409
1560	29711	27389
1561	29729	27368
1562	29747	27349
1563	29765	27329
1564	29783	27309
1565	29803	27291
1566	29823	27272
1567	29841	27253
1568	29860	27234
1569	29878	27214
1570	29896	27194
1571	29915	27175
1572	29934	27155
1573	29951	27135
1574	29969	27115
1575	29987	27095
1576	30006	27076
1577	30024	27056
1578	30043	27037
1579	30061	27017
1580	30080	26998
1581	30098	26978
1582	30118	26960
1583	30137	26940
1584	30160	26925
1585	30180	26907
1586	30200	26889
1587	30219	26870
1588	30239	26852
1589	30258	26832
1590	30276	26812
1591	30295	26793
1592	30312	26773
1593	30331	26754
1594	30350	26734
1595	30369	26715
1596	30387	26696
1597	30406	26676
1598	30423	26656
1599	30442	26637
1600	30460	26617
1601	30480	26598
1602	30499	26579
1603	30519	26561
1604	30548	26551
1605	30568	26533
1606	30588	26515
1607	30607	26496
1608	30626	26476
1609	30644	26457
1610	30664	26438
1611	30684	26420
1612	30704	26402
1613	30723	26383
1614	30740	26362
1615	30759	26343
1616	30776	26322
1617	30796	26304
1618	30813	26284
1619	30831	26263
1620	30848	26243
1621	30864	26221
1622	30883	26202
1623	30900	26181
1624	30918	26162
1625	30937	26142
1626	30955	26122
1627	30974	26103
1628	30993	26084
1629	31012	26065
1630	31031	26046
1631	31048	26025
1632	31066	26005
1633	31085	25987
1634	31104	25968
1635	31121	25947
1636	31139	25927
1637	31157	25907
1638	31174	25886
1639	31192	25866
1640	31211	25848
1641	31228	25827
1642	31247	25807
1643	31265	25788
1644	31285	25770
1645	31304	25751
1646	31323	25731
1647	31342	25712
1648	31360	25692
1649	31378	25672
1650	31399	25655
1651	31418	25637
1652	31437	25617
1653	31456	25598
1654	31475	25579
1655	31495	25561
1656	31513	25541
1657	31530	25520
1658	31547	25500
1659	31565	25480
1660	31583	25461
1661	31603	25442
1662	31621	25422
1663	31640	25403
